"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster","kelas"
"1",596,"Point",1,"Sangat Rendah",0.013278,0.118775,0.097427,0.090024,0.069827,0.338991,0.264674,0.137808,0.001951,1,1
"2",595,"Point",1,"Sangat Rendah",0.014843,0.119646,0.097855,0.090624,0.07335,0.343801,0.267496,0.142918,0.001554,1,1
"3",594,"Point",1,"Sangat Rendah",0.034888,0.117608,0.094585,0.085041,0.062641,0.352649,0.230306,0.116218,0.001601,1,1
"4",738,"Point",1,"Sangat Rendah",0.054502,0.117291,0.095044,0.086106,0.059643,0.362481,0.23645,0.112019,0.001737,1,1
"5",779,"Point",1,"Sangat Rendah",0.085661,0.118591,0.09655,0.081499,0.066845,0.29961,0.211566,0.119951,0.001469,1,1
"6",723,"Point",1,"Sangat Rendah",0,0.120681,0.099382,0.089137,0.079335,0.288038,0.236145,0.133857,0.001737,1,1
"7",558,"Point",1,"Sangat Rendah",0.024268,0.114111,0.091471,0.085782,0.052196,0.426817,0.230712,0.106758,0.001444,1,1
"8",551,"Point",1,"Sangat Rendah",0.04672,0.115677,0.092121,0.082787,0.054126,0.369855,0.208336,0.093276,0.002024,1,1
"9",589,"Point",1,"Sangat Rendah",0.023499,0.116954,0.094174,0.086974,0.058608,0.360537,0.215495,0.099909,0.001221,1,1
"10",696,"Point",1,"Sangat Rendah",0.084476,0.114778,0.090276,0.082323,0.048099,0.393373,0.186219,0.076576,0.002112,1,1
"11",600,"Point",1,"Sangat Rendah",0.039612,0.117873,0.096292,0.089216,0.068374,0.340862,0.254149,0.131654,0.00174,1,1
"12",729,"Point",1,"Sangat Rendah",0.054965,0.115191,0.09106,0.077784,0.054856,0.321479,0.194017,0.092748,0.001724,1,1
"13",622,"Point",1,"Sangat Rendah",0.047955,0.116627,0.094395,0.078232,0.064869,0.273557,0.192306,0.104978,0.001649,1,1
"14",650,"Point",1,"Sangat Rendah",0.055068,0.116855,0.094471,0.08374,0.061799,0.320974,0.235489,0.118045,0.001668,1,1
"15",751,"Point",1,"Sangat Rendah",0.091765,0.116536,0.09452,0.080952,0.064955,0.281396,0.207691,0.10912,0.001702,1,1
"16",685,"Point",1,"Sangat Rendah",0.017472,0.121063,0.100498,0.085903,0.077681,0.266073,0.192092,0.109184,0.001274,1,1
"17",828,"Point",1,"Sangat Rendah",0.081425,0.113043,0.090551,0.078368,0.058903,0.303942,0.191048,0.096192,0.001594,1,1
"18",574,"Point",1,"Sangat Rendah",0.058912,0.117901,0.096814,0.080211,0.071983,0.243776,0.24112,0.141743,0.001819,1,1
"19",561,"Point",1,"Sangat Rendah",0.012751,0.122504,0.101956,0.091763,0.081289,0.298411,0.253404,0.173253,0.001831,1,1
"20",597,"Point",1,"Sangat Rendah",0.023692,0.120313,0.099622,0.092935,0.079727,0.342247,0.287988,0.158276,0.001442,1,1
"21",844,"Point",1,"Sangat Rendah",0.076578,0.115867,0.092959,0.083937,0.066039,0.310678,0.188038,0.100119,0.001574,1,1
"22",649,"Point",1,"Sangat Rendah",0.038206,0.115921,0.092508,0.081627,0.057596,0.29966,0.220883,0.107781,0.001775,1,1
"23",593,"Point",1,"Sangat Rendah",0.054391,0.117052,0.093684,0.084973,0.057999,0.374911,0.234184,0.110096,0.001748,1,1
"24",744,"Point",1,"Sangat Rendah",0.046152,0.113457,0.089246,0.079325,0.049438,0.390353,0.201599,0.088874,0.00126,1,1
"25",941,"Point",1,"Sangat Rendah",0.07369,0.111184,0.086851,0.077031,0.046539,0.358553,0.167173,0.070278,0.001783,1,1
"26",678,"Point",1,"Sangat Rendah",0.057789,0.116227,0.09363,0.085003,0.060888,0.404896,0.235193,0.117764,0.001542,1,1
"27",632,"Point",1,"Sangat Rendah",0.049333,0.117023,0.094684,0.084299,0.069101,0.318144,0.261474,0.137441,0.001647,1,1
"28",590,"Point",1,"Sangat Rendah",0.032781,0.117635,0.094216,0.085936,0.058819,0.368468,0.216757,0.099789,0.001777,1,1
"29",686,"Point",1,"Sangat Rendah",0,0.124964,0.104814,0.095479,0.100075,0.23762,0.215206,0.135871,0.001697,1,1
"30",765,"Point",1,"Sangat Rendah",0.089011,0.119432,0.097058,0.084005,0.076646,0.26056,0.22552,0.132861,0.001231,1,1
"31",728,"Point",1,"Sangat Rendah",0.008677,0.112484,0.087869,0.074509,0.046285,0.355198,0.173956,0.074576,0.00169,1,1
"32",543,"Point",1,"Sangat Rendah",0.018373,0.118966,0.09732,0.092322,0.07044,0.378014,0.254129,0.128335,0.001413,1,1
"33",743,"Point",1,"Sangat Rendah",0.012047,0.113986,0.090701,0.085854,0.0512,0.419854,0.212652,0.092642,0.001543,1,1
"34",544,"Point",1,"Sangat Rendah",0,0.119028,0.096263,0.088627,0.067901,0.356388,0.246095,0.124561,0.001402,1,1
"35",684,"Point",1,"Sangat Rendah",0,0.113155,0.089109,0.072956,0.050277,0.299869,0.164176,0.080432,0.001548,1,1
"36",572,"Point",1,"Sangat Rendah",0.034298,0.121029,0.100493,0.08859,0.091159,0.236272,0.27189,0.169948,0.001743,1,1
"37",591,"Point",1,"Sangat Rendah",0.046882,0.116453,0.093393,0.083462,0.05503,0.378048,0.230155,0.106706,0.001532,1,1
"38",688,"Point",1,"Sangat Rendah",0.006452,0.125439,0.10482,0.097189,0.103842,0.21819,0.208005,0.133461,0.00197,1,1
"39",767,"Point",1,"Sangat Rendah",0.022121,0.117191,0.096001,0.081042,0.074643,0.238442,0.245275,0.150824,0.001384,1,1
"40",631,"Point",1,"Sangat Rendah",0.097817,0.116756,0.094421,0.081093,0.065487,0.299255,0.252669,0.135005,0.001631,1,1
"41",581,"Point",1,"Sangat Rendah",0.073378,0.115606,0.092038,0.086325,0.056946,0.394128,0.23573,0.109492,0.001808,1,1
"42",546,"Point",1,"Sangat Rendah",0.003939,0.119032,0.09621,0.090321,0.071474,0.364939,0.250433,0.125678,0.001536,1,1
"43",749,"Point",1,"Sangat Rendah",0.003128,0.113827,0.090765,0.079378,0.052709,0.323709,0.187276,0.089505,0.001654,1,1
"44",750,"Point",1,"Sangat Rendah",0.076914,0.115406,0.093045,0.078195,0.058345,0.280153,0.165092,0.086105,0.0018,1,1
"45",746,"Point",1,"Sangat Rendah",0.048846,0.115136,0.091974,0.078883,0.059287,0.296966,0.216576,0.107007,0.001164,1,1
"46",830,"Point",1,"Sangat Rendah",0.040534,0.112903,0.090109,0.078059,0.054662,0.323555,0.186451,0.090505,0.001646,1,1
"47",778,"Point",1,"Sangat Rendah",0.007072,0.12095,0.100436,0.087984,0.084811,0.24165,0.270707,0.168314,0.001319,1,1
"48",724,"Point",1,"Sangat Rendah",0.043792,0.126284,0.107875,0.099896,0.104726,0.233381,0.221423,0.141788,0.001557,1,1
"49",592,"Point",1,"Sangat Rendah",0.067282,0.117257,0.092864,0.084274,0.056302,0.37063,0.214544,0.099804,0.002243,1,1
"50",648,"Point",1,"Sangat Rendah",0.06492,0.113652,0.089947,0.075006,0.051816,0.288929,0.183885,0.086986,0.001613,1,1
"51",756,"Point",1,"Sangat Rendah",0.092853,0.121803,0.100146,0.084113,0.079772,0.227233,0.222837,0.143346,0.00176,1,1
"52",815,"Point",1,"Sangat Rendah",0.053294,0.129136,0.109616,0.092952,0.090201,0.230842,0.212248,0.169096,0.001578,1,1
"53",580,"Point",1,"Sangat Rendah",0.082212,0.118919,0.097276,0.088402,0.074043,0.330091,0.237095,0.127004,0.00174,1,1
"54",643,"Point",2,"Sangat Rendah",0.179442,0.115321,0.091188,0.078501,0.047559,0.406429,0.173502,0.069477,0.001965,1,2
"55",656,"Point",2,"Sangat Rendah",0.185305,0.114826,0.091317,0.078842,0.055995,0.31499,0.206919,0.099679,0.001774,1,2
"56",467,"Point",2,"Sangat Rendah",0.140592,0.123449,0.101047,0.085659,0.06729,0.27942,0.203604,0.113324,0.001722,1,2
"57",583,"Point",2,"Sangat Rendah",0.107006,0.115419,0.091798,0.085361,0.055042,0.42365,0.226386,0.102862,0.00193,1,2
"58",539,"Point",2,"Sangat Rendah",0.183597,0.113742,0.08988,0.077472,0.052407,0.319143,0.178279,0.084711,0.001866,1,2
"59",381,"Point",2,"Sangat Rendah",0.189568,0.12008,0.096345,0.077956,0.056796,0.287723,0.169777,0.076627,0.002244,1,2
"60",727,"Point",2,"Sangat Rendah",0.11853,0.112051,0.088734,0.074967,0.047926,0.324684,0.173481,0.076087,0.001477,1,2
"61",333,"Point",2,"Sangat Rendah",0.167257,0.114763,0.090275,0.074622,0.045617,0.344531,0.169226,0.069046,0.001629,1,2
"62",755,"Point",2,"Sangat Rendah",0.116549,0.120618,0.098037,0.08245,0.078731,0.220558,0.214009,0.131027,0.001984,1,2
"63",588,"Point",2,"Sangat Rendah",0.100439,0.117445,0.093901,0.082952,0.05926,0.352132,0.225574,0.107891,0.001534,1,2
"64",734,"Point",2,"Sangat Rendah",0.170067,0.112745,0.088052,0.074674,0.050361,0.315246,0.17305,0.078617,0.001435,1,2
"65",687,"Point",2,"Sangat Rendah",0.138527,0.12055,0.098777,0.087463,0.082414,0.239291,0.208893,0.124668,0.001513,1,2
"66",340,"Point",2,"Sangat Rendah",0.187739,0.12097,0.096548,0.07947,0.057443,0.324516,0.187079,0.086857,0.002024,1,2
"67",834,"Point",2,"Sangat Rendah",0.188412,0.111455,0.087614,0.072986,0.051354,0.281857,0.145966,0.069426,0.001218,1,2
"68",736,"Point",2,"Sangat Rendah",0.159367,0.110935,0.086072,0.07108,0.043472,0.322008,0.163269,0.071274,0.0016,1,2
"69",538,"Point",2,"Sangat Rendah",0.160278,0.112104,0.087019,0.072172,0.044055,0.329872,0.157856,0.066503,0.001634,1,2
"70",733,"Point",2,"Sangat Rendah",0.181708,0.11332,0.089202,0.074437,0.047409,0.335907,0.175739,0.077473,0.001349,1,2
"71",690,"Point",2,"Sangat Rendah",0.116106,0.12182,0.10081,0.09302,0.086864,0.277927,0.217438,0.126835,0.001734,1,2
"72",331,"Point",2,"Sangat Rendah",0.154866,0.115678,0.090779,0.074474,0.045742,0.32964,0.160127,0.065434,0.001469,1,2
"73",336,"Point",2,"Sangat Rendah",0.151048,0.116063,0.091317,0.075191,0.046279,0.33895,0.164991,0.067767,0.001573,1,2
"74",771,"Point",2,"Sangat Rendah",0.130467,0.114261,0.090946,0.081027,0.056009,0.351473,0.21931,0.106325,0.001432,1,2
"75",645,"Point",2,"Sangat Rendah",0.13679,0.115455,0.09085,0.078396,0.048135,0.400931,0.184346,0.074551,0.002046,1,2
"76",553,"Point",2,"Sangat Rendah",0.112916,0.114773,0.091258,0.083159,0.052597,0.391058,0.216675,0.099176,0.001617,1,2
"77",737,"Point",2,"Sangat Rendah",0.140827,0.11469,0.090815,0.080091,0.052591,0.34926,0.208359,0.094898,0.001884,1,2
"78",554,"Point",2,"Sangat Rendah",0.11921,0.115119,0.091368,0.081692,0.054582,0.336383,0.219772,0.103586,0.001221,1,2
"79",940,"Point",2,"Sangat Rendah",0.118103,0.109805,0.085355,0.072998,0.042591,0.357026,0.159039,0.065433,0.001755,1,2
"80",846,"Point",2,"Sangat Rendah",0.14125,0.12504,0.105362,0.093087,0.081067,0.280763,0.195161,0.121176,0.001733,1,2
"81",605,"Point",2,"Sangat Rendah",0.16218,0.117373,0.094254,0.083918,0.058048,0.35536,0.223579,0.105326,0.002241,1,2
"82",831,"Point",2,"Sangat Rendah",0.155451,0.111037,0.086779,0.075158,0.05243,0.307173,0.155518,0.069635,0.001558,1,2
"83",338,"Point",2,"Sangat Rendah",0.186805,0.115925,0.090323,0.074317,0.045424,0.348646,0.165612,0.067334,0.001813,1,2
"84",853,"Point",2,"Sangat Rendah",0.154701,0.115569,0.092247,0.077091,0.061141,0.26742,0.16206,0.095349,0.00182,1,2
"85",337,"Point",2,"Sangat Rendah",0.170529,0.115809,0.090841,0.075842,0.047139,0.354143,0.170087,0.070813,0.002005,1,2
"86",584,"Point",2,"Sangat Rendah",0.132974,0.116318,0.092928,0.085234,0.05838,0.400692,0.23464,0.108698,0.001752,1,2
"87",776,"Point",2,"Sangat Rendah",0.151409,0.115508,0.091992,0.082494,0.057393,0.344703,0.216118,0.099901,0.001688,1,2
"88",332,"Point",2,"Sangat Rendah",0.192676,0.114959,0.090766,0.075662,0.046211,0.345022,0.166468,0.06849,0.001623,1,2
"89",679,"Point",2,"Sangat Rendah",0.116679,0.119021,0.097509,0.085861,0.079736,0.271018,0.239222,0.140077,0.001648,1,2
"90",762,"Point",2,"Sangat Rendah",0.110814,0.121885,0.100463,0.086668,0.075677,0.286192,0.204358,0.113794,0.001637,1,2
"91",542,"Point",2,"Sangat Rendah",0.143982,0.113568,0.09018,0.079564,0.052478,0.364521,0.206051,0.092676,0.00148,1,2
"92",571,"Point",2,"Sangat Rendah",0.106988,0.116678,0.094159,0.079623,0.065628,0.265932,0.21652,0.120245,0.00175,1,2
"93",816,"Point",2,"Sangat Rendah",0.158134,0.11239,0.089921,0.072439,0.056942,0.253385,0.138889,0.076573,0.001253,1,2
