"","FID","Shape","Class","kategori","frci","Band_1","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","Band_9","cluster","kelas"
"45",770,"Point",1,"Sangat Rendah",0.002853,0.119644,0.098823,0.084607,0.078831,0.244824,0.26117,0.15263,0.001343,1,1
"46",600,"Point",1,"Sangat Rendah",0.039612,0.117873,0.096292,0.089216,0.068374,0.340862,0.254149,0.131654,0.00174,1,1
"47",581,"Point",1,"Sangat Rendah",0.073378,0.115606,0.092038,0.086325,0.056946,0.394128,0.23573,0.109492,0.001808,1,1
"48",775,"Point",1,"Sangat Rendah",0.020635,0.117956,0.095657,0.087913,0.062834,0.343307,0.234404,0.11124,0.001631,1,1
"49",545,"Point",1,"Sangat Rendah",0.056525,0.114145,0.091329,0.080661,0.053389,0.360935,0.209784,0.094486,0.001756,1,1
"50",623,"Point",1,"Sangat Rendah",0.003539,0.120718,0.098917,0.085809,0.079818,0.262337,0.258373,0.155106,0.001598,1,1
"51",580,"Point",1,"Sangat Rendah",0.082212,0.118919,0.097276,0.088402,0.074043,0.330091,0.237095,0.127004,0.00174,1,1
"52",587,"Point",1,"Sangat Rendah",0.008846,0.115298,0.091822,0.084434,0.054612,0.385197,0.215833,0.099036,0.001475,1,1
"53",732,"Point",1,"Sangat Rendah",0.044384,0.113241,0.090307,0.077133,0.051049,0.334037,0.184053,0.082344,0.00171,1,1
"54",683,"Point",1,"Sangat Rendah",0.016372,0.11972,0.098339,0.088013,0.079468,0.268842,0.195579,0.111811,0.001805,1,1
"55",738,"Point",1,"Sangat Rendah",0.054502,0.117291,0.095044,0.086106,0.059643,0.362481,0.23645,0.112019,0.001737,1,1
"56",556,"Point",1,"Sangat Rendah",0.064827,0.114515,0.090948,0.086169,0.052471,0.413455,0.224322,0.100385,0.001474,1,1
"57",589,"Point",1,"Sangat Rendah",0.023499,0.116954,0.094174,0.086974,0.058608,0.360537,0.215495,0.099909,0.001221,1,1
"58",762,"Point",2,"Sangat Rendah",0.110814,0.121885,0.100463,0.086668,0.075677,0.286192,0.204358,0.113794,0.001637,1,2
"59",736,"Point",2,"Sangat Rendah",0.159367,0.110935,0.086072,0.07108,0.043472,0.322008,0.163269,0.071274,0.0016,1,2
"60",538,"Point",2,"Sangat Rendah",0.160278,0.112104,0.087019,0.072172,0.044055,0.329872,0.157856,0.066503,0.001634,1,2
"61",940,"Point",2,"Sangat Rendah",0.118103,0.109805,0.085355,0.072998,0.042591,0.357026,0.159039,0.065433,0.001755,1,2
"62",731,"Point",2,"Sangat Rendah",0.102975,0.116308,0.093585,0.07963,0.059944,0.325498,0.19559,0.092798,0.002,1,2
"63",853,"Point",2,"Sangat Rendah",0.154701,0.115569,0.092247,0.077091,0.061141,0.26742,0.16206,0.095349,0.00182,1,2
"64",605,"Point",2,"Sangat Rendah",0.16218,0.117373,0.094254,0.083918,0.058048,0.35536,0.223579,0.105326,0.002241,1,2
"65",333,"Point",2,"Sangat Rendah",0.167257,0.114763,0.090275,0.074622,0.045617,0.344531,0.169226,0.069046,0.001629,1,2
"66",687,"Point",2,"Sangat Rendah",0.138527,0.12055,0.098777,0.087463,0.082414,0.239291,0.208893,0.124668,0.001513,1,2
"67",745,"Point",2,"Sangat Rendah",0.162126,0.11385,0.08968,0.079541,0.051017,0.368795,0.203863,0.091714,0.001338,1,2
"68",539,"Point",2,"Sangat Rendah",0.183597,0.113742,0.08988,0.077472,0.052407,0.319143,0.178279,0.084711,0.001866,1,2
"69",531,"Point",2,"Sangat Rendah",0.111096,0.114831,0.091824,0.083808,0.054535,0.363345,0.213732,0.098674,0.001733,1,2
"70",816,"Point",2,"Sangat Rendah",0.158134,0.11239,0.089921,0.072439,0.056942,0.253385,0.138889,0.076573,0.001253,1,2
"71",755,"Point",2,"Sangat Rendah",0.116549,0.120618,0.098037,0.08245,0.078731,0.220558,0.214009,0.131027,0.001984,1,2
"72",846,"Point",2,"Sangat Rendah",0.14125,0.12504,0.105362,0.093087,0.081067,0.280763,0.195161,0.121176,0.001733,1,2
"73",336,"Point",2,"Sangat Rendah",0.151048,0.116063,0.091317,0.075191,0.046279,0.33895,0.164991,0.067767,0.001573,1,2
"74",542,"Point",2,"Sangat Rendah",0.143982,0.113568,0.09018,0.079564,0.052478,0.364521,0.206051,0.092676,0.00148,1,2
"75",383,"Point",2,"Sangat Rendah",0.137056,0.120892,0.098502,0.08404,0.063157,0.315247,0.198951,0.094936,0.002026,1,2
"76",735,"Point",2,"Sangat Rendah",0.120825,0.112971,0.089179,0.07548,0.046709,0.337128,0.184306,0.080375,0.001584,1,2
"77",565,"Point",2,"Sangat Rendah",0.113588,0.123231,0.102949,0.091102,0.09522,0.239534,0.270526,0.173969,0.001371,1,2
"78",534,"Point",2,"Sangat Rendah",0.146251,0.114503,0.090295,0.078111,0.05043,0.350775,0.185438,0.083388,0.001773,1,2
"79",733,"Point",2,"Sangat Rendah",0.181708,0.11332,0.089202,0.074437,0.047409,0.335907,0.175739,0.077473,0.001349,1,2
"80",603,"Point",2,"Sangat Rendah",0.105414,0.1165,0.093008,0.076276,0.059466,0.256063,0.206288,0.10532,0.001593,1,2
"81",583,"Point",2,"Sangat Rendah",0.107006,0.115419,0.091798,0.085361,0.055042,0.42365,0.226386,0.102862,0.00193,1,2
"82",727,"Point",2,"Sangat Rendah",0.11853,0.112051,0.088734,0.074967,0.047926,0.324684,0.173481,0.076087,0.001477,1,2
"83",337,"Point",2,"Sangat Rendah",0.170529,0.115809,0.090841,0.075842,0.047139,0.354143,0.170087,0.070813,0.002005,1,2
"84",734,"Point",2,"Sangat Rendah",0.170067,0.112745,0.088052,0.074674,0.050361,0.315246,0.17305,0.078617,0.001435,1,2
"85",541,"Point",2,"Sangat Rendah",0.114021,0.112436,0.088529,0.075807,0.04713,0.348797,0.182642,0.079184,0.001827,1,2
"86",530,"Point",2,"Sangat Rendah",0.184416,0.113034,0.089387,0.076815,0.049476,0.334843,0.182943,0.080655,0.001789,1,2
"87",656,"Point",2,"Sangat Rendah",0.185305,0.114826,0.091317,0.078842,0.055995,0.31499,0.206919,0.099679,0.001774,1,2
"88",643,"Point",2,"Sangat Rendah",0.179442,0.115321,0.091188,0.078501,0.047559,0.406429,0.173502,0.069477,0.001965,1,2
"89",826,"Point",2,"Sangat Rendah",0.104049,0.116687,0.096179,0.082291,0.069857,0.257215,0.17437,0.100636,0.001655,1,2
"90",645,"Point",2,"Sangat Rendah",0.13679,0.115455,0.09085,0.078396,0.048135,0.400931,0.184346,0.074551,0.002046,1,2
