"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.076,0.088,0.073,0.056,0.252,0.132,0.07,1
"2",0.055,0.091,0.078,0.055,0.321,0.194,0.093,1
"3",0.08,0.099,0.091,0.086,0.28,0.205,0.116,1
"4",0.003,0.091,0.079,0.053,0.324,0.187,0.09,1
"5",0.017,0.1,0.086,0.078,0.266,0.192,0.109,1
"6",0.024,0.097,0.083,0.079,0.226,0.234,0.144,1
"7",0.023,0.099,0.092,0.082,0.319,0.278,0.155,1
"8",0,0.092,0.08,0.057,0.326,0.211,0.106,1
"9",0.067,0.09,0.077,0.05,0.351,0.192,0.085,1
"10",0.024,0.1,0.093,0.08,0.342,0.288,0.158,1
"11",0.09,0.092,0.085,0.058,0.373,0.227,0.104,1
"12",0.007,0.1,0.088,0.085,0.242,0.271,0.168,1
"13",0.055,0.095,0.086,0.06,0.362,0.236,0.112,1
"14",0.023,0.094,0.087,0.059,0.361,0.215,0.1,1
"15",0,0.099,0.089,0.079,0.288,0.236,0.134,1
"16",0.077,0.091,0.083,0.053,0.381,0.213,0.098,1
"17",0.049,0.095,0.084,0.069,0.318,0.261,0.137,1
"18",0.077,0.093,0.078,0.058,0.28,0.165,0.086,1
"19",0.033,0.094,0.083,0.062,0.3,0.231,0.117,1
"20",0.038,0.093,0.082,0.058,0.3,0.221,0.108,1
"21",0.011,0.093,0.088,0.061,0.406,0.232,0.111,1
"22",0.078,0.105,0.096,0.096,0.249,0.227,0.139,1
"23",0.067,0.093,0.084,0.056,0.371,0.215,0.1,1
"24",0,0.096,0.089,0.068,0.356,0.246,0.125,1
"25",0.069,0.089,0.077,0.051,0.362,0.181,0.08,1
"26",0.093,0.1,0.084,0.08,0.227,0.223,0.143,1
"27",0.012,0.091,0.086,0.051,0.42,0.213,0.093,1
"28",0.035,0.103,0.094,0.099,0.26,0.266,0.19,1
"29",0.033,0.094,0.086,0.059,0.368,0.217,0.1,1
"30",0.006,0.104,0.089,0.081,0.278,0.231,0.132,1
"31",0.098,0.094,0.081,0.065,0.299,0.253,0.135,1
"32",0.016,0.098,0.088,0.079,0.269,0.196,0.112,1
"33",0.009,0.098,0.086,0.081,0.263,0.281,0.17,1
"34",0.058,0.094,0.085,0.061,0.405,0.235,0.118,1
"35",0.059,0.097,0.08,0.072,0.244,0.241,0.142,1
"36",0.011,0.096,0.081,0.074,0.229,0.258,0.151,1
"37",0.092,0.095,0.081,0.065,0.281,0.208,0.109,1
"38",0.065,0.09,0.075,0.052,0.289,0.184,0.087,1
"39",0.077,0.093,0.084,0.066,0.311,0.188,0.1,1
"40",0.074,0.087,0.077,0.047,0.359,0.167,0.07,1
"41",0.04,0.096,0.089,0.068,0.341,0.254,0.132,1
"42",0.046,0.089,0.079,0.049,0.39,0.202,0.089,1
"43",0.082,0.097,0.088,0.074,0.33,0.237,0.127,1
"44",0.073,0.092,0.086,0.057,0.394,0.236,0.109,1
"45",0.057,0.091,0.081,0.053,0.361,0.21,0.094,1
"46",0.035,0.095,0.085,0.063,0.353,0.23,0.116,1
"47",0.001,0.101,0.093,0.084,0.304,0.295,0.168,1
"48",0.054,0.094,0.085,0.058,0.375,0.234,0.11,1
"49",0.003,0.099,0.085,0.079,0.245,0.261,0.153,1
"50",0.098,0.111,0.095,0.094,0.214,0.204,0.155,1
"51",0.013,0.091,0.087,0.053,0.43,0.219,0.096,1
"52",0.001,0.092,0.08,0.06,0.303,0.219,0.111,1
"53",0.19,0.096,0.078,0.057,0.288,0.17,0.077,1
"54",0.107,0.094,0.08,0.066,0.266,0.217,0.12,1
"55",0.184,0.089,0.077,0.049,0.335,0.183,0.081,1
"56",0.146,0.09,0.078,0.05,0.351,0.185,0.083,1
"57",0.103,0.094,0.08,0.06,0.325,0.196,0.093,1
"58",0.162,0.094,0.084,0.058,0.355,0.224,0.105,1
"59",0.113,0.091,0.083,0.053,0.391,0.217,0.099,1
"60",0.1,0.094,0.083,0.059,0.352,0.226,0.108,1
"61",0.116,0.101,0.093,0.087,0.278,0.217,0.127,1
"62",0.119,0.089,0.075,0.048,0.325,0.173,0.076,1
"63",0.183,0.09,0.077,0.048,0.383,0.178,0.072,1
"64",0.17,0.088,0.075,0.05,0.315,0.173,0.079,1
"65",0.111,0.1,0.087,0.076,0.286,0.204,0.114,1
"66",0.107,0.092,0.085,0.055,0.424,0.226,0.103,1
"67",0.151,0.091,0.075,0.046,0.339,0.165,0.068,1
"68",0.117,0.098,0.082,0.079,0.221,0.214,0.131,1
"69",0.118,0.085,0.073,0.043,0.357,0.159,0.065,1
"70",0.188,0.088,0.073,0.051,0.282,0.146,0.069,1
"71",0.119,0.091,0.082,0.055,0.336,0.22,0.104,1
