"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7"
"277",0.578,0.201,0.273,0.146,0.547,0.254,0.137
"278",0.545,0.316,0.391,0.193,0.637,0.393,0.219
"279",0.565,0.062,0.127,0.007,0.357,0.111,0.061
"280",0.551,0.101,0.153,0.069,0.565,0.153,0.062
"281",0.573,0.129,0.256,0.118,0.487,0.298,0.172
"282",0.527,0.01,0.027,0.012,0.357,0.094,0.049
"283",0.598,0.133,0.241,0.085,0.585,0.3,0.148
"284",0.542,0.055,0.088,0.051,0.436,0.195,0.101
"285",0.562,0.213,0.319,0.198,0.408,0.127,0.093
"286",0.555,0.077,0.154,0.039,0.568,0.232,0.11
"287",0.571,0.262,0.343,0.212,0.57,0.416,0.258
"288",0.503,0.004,0.025,0,0.364,0.066,0.027
"289",0.56,0.273,0.345,0.111,0.577,0.353,0.175
"290",0.572,0.132,0.185,0.043,0.53,0.21,0.102
"291",0.574,0.046,0.081,0.023,0.439,0.133,0.058
"292",0.589,0.115,0.145,0.127,0.18,0.139,0.122
"293",0.562,0.228,0.264,0.102,0.588,0.23,0.105
"294",0.558,0.041,0.083,0.04,0.385,0.086,0.04
"295",0.536,0.253,0.437,0.239,0.539,0.345,0.233
"296",0.516,0.401,0.513,0.28,0.62,0.469,0.315
"297",0.56,0.163,0.234,0.058,0.687,0.324,0.149
"298",0.548,0.089,0.191,0.061,0.541,0.302,0.151
"299",0.549,0.175,0.153,0.113,0.431,0.271,0.174
"300",0.575,0.15,0.19,0.055,0.519,0.196,0.088
"301",0.553,0.174,0.309,0.098,0.689,0.301,0.14
"302",0.573,0.079,0.178,0.056,0.373,0.124,0.059
"303",0.588,0.261,0.283,0.093,0.455,0.305,0.154
"304",0.583,0.073,0.191,0.078,0.429,0.212,0.118
"305",0.593,0.029,0.079,0.013,0.278,0.055,0.029
"306",0.573,0.282,0.283,0.158,0.397,0.356,0.229
"307",0.527,0.097,0.22,0.081,0.432,0.163,0.086
"308",0.573,0.209,0.245,0.124,0.447,0.167,0.089
"309",0.528,0.069,0.128,0.067,0.495,0.273,0.142
"310",0.589,0.326,0.275,0.167,0.61,0.388,0.194
"311",0.509,0.125,0.242,0.11,0.448,0.169,0.098
"312",0.566,0.359,0.368,0.216,0.438,0.383,0.253
"313",0.575,0.06,0.153,0.051,0.451,0.223,0.111
"314",0.515,0.303,0.371,0.219,0.519,0.312,0.187
"315",0.57,0.173,0.254,0.075,0.791,0.347,0.158
"316",0.555,0.075,0.195,0.089,0.353,0.112,0.077
"317",0.557,0.08,0.202,0.115,0.312,0.105,0.071
"318",0.643,0.128,0.179,0.044,0.551,0.211,0.102
"319",0.7,0.236,0.262,0.166,0.361,0.105,0.088
"320",0.683,0.082,0.13,0.054,0.522,0.157,0.068
"321",0.638,0.283,0.531,0.167,0.681,0.432,0.208
"322",0.663,0.11,0.182,0.111,0.369,0.205,0.137
"323",0.619,0.338,0.46,0.192,0.537,0.297,0.167
"324",0.662,0.08,0.184,0.098,0.336,0.069,0.045
"325",0.661,0.146,0.277,0.13,0.493,0.213,0.119
"326",0.666,0.345,0.397,0.187,0.563,0.383,0.214
"327",0.62,0.316,0.371,0.159,0.527,0.366,0.207
"328",0.657,0.284,0.338,0.149,0.51,0.321,0.169
"329",0.633,0.094,0.166,0.103,0.379,0.185,0.113
"330",0.66,0.325,0.351,0.135,0.691,0.302,0.14
"331",0.603,0.247,0.286,0.091,0.522,0.33,0.17
"332",0.645,0.237,0.441,0.224,0.518,0.289,0.198
"333",0.693,0.111,0.166,0.087,0.51,0.245,0.134
"334",0.68,0.025,0.079,0.023,0.334,0.077,0.031
"335",0.699,0.248,0.4,0.164,0.774,0.351,0.17
"336",0.638,0.324,0.459,0.265,0.522,0.355,0.224
"337",0.645,0.39,0.413,0.23,0.487,0.407,0.265
"338",0.624,0.22,0.349,0.209,0.418,0.263,0.191
"339",0.664,0.164,0.199,0.073,0.506,0.209,0.095
"340",0.669,0.076,0.11,0.09,0.261,0.068,0.057
"341",0.685,0.139,0.064,0.021,0.28,0,0
"342",0.623,0.222,0.355,0.137,0.722,0.377,0.183
"343",0.64,0.26,0.252,0.11,0.517,0.255,0.129
"344",0.606,0.022,0,0.007,0.21,0.013,0.011
"345",0.632,0.22,0.278,0.089,0.557,0.246,0.122
"346",0.607,0.326,0.38,0.172,0.701,0.382,0.2
"347",0.65,0.107,0.118,0.076,0.378,0.128,0.069
"348",0.694,0.078,0.158,0.053,0.385,0.09,0.036
"349",0.666,0.068,0.141,0.053,0.499,0.117,0.051
"350",0.643,0.058,0.072,0.056,0.387,0.117,0.06
"351",0.626,0.048,0.081,0.03,0.416,0.087,0.035
"352",0.664,0.17,0.187,0.067,0.548,0.229,0.118
"353",0.654,0.2,0.261,0.117,0.66,0.325,0.181
"354",0.606,0.123,0.258,0.136,0.507,0.35,0.215
"355",0.701,0.187,0.188,0.08,0.547,0.281,0.145
"356",0.651,0.163,0.23,0.063,0.551,0.282,0.13
"357",0.622,0.031,0.013,0.011,0.232,0.061,0.044
"358",0.622,0.136,0.229,0.146,0.468,0.241,0.149
"359",0.682,0.287,0.385,0.145,0.761,0.356,0.167
"360",0.689,0.262,0.262,0.133,0.481,0.259,0.137
"361",0.631,0.168,0.198,0.074,0.539,0.206,0.101
"362",0.693,0.043,0.112,0.045,0.338,0.07,0.031
"363",0.605,0.22,0.321,0.112,0.635,0.315,0.151
"364",0.675,0.082,0.12,0.076,0.41,0.152,0.084
"365",0.668,0.084,0.167,0.14,0.17,0.092,0.087
"366",0.65,0.127,0.201,0.111,0.371,0.13,0.078
"367",0.673,0.27,0.309,0.211,0.551,0.318,0.212
"368",0.677,0.196,0.249,0.072,0.596,0.254,0.117
"369",0.688,0.275,0.237,0.111,0.435,0.183,0.087
"370",0.628,0.213,0.371,0.125,0.748,0.355,0.179
"371",0.772,0.121,0.251,0.093,0.559,0.241,0.122
"372",0.705,0.209,0.332,0.121,0.683,0.409,0.2
"373",0.781,0.127,0.15,0.033,0.455,0.171,0.09
"374",0.8,0.262,0.231,0.096,0.509,0.172,0.072
"375",0.723,0.083,0.169,0.062,0.524,0.244,0.131
"376",0.721,0.177,0.345,0.106,0.749,0.363,0.172
"377",0.709,0.094,0.105,0.052,0.434,0.174,0.079
"378",0.702,0.295,0.247,0.103,0.584,0.219,0.093
"379",0.794,0.17,0.225,0.06,0.533,0.172,0.076
"380",0.76,0.168,0.271,0.066,0.673,0.314,0.15
"381",0.766,0.214,0.292,0.098,0.695,0.268,0.124
"382",0.791,0.229,0.197,0.079,0.513,0.23,0.104
"383",0.751,0.217,0.285,0.101,0.639,0.248,0.118
"384",0.744,0.059,0.127,0.053,0.303,0.092,0.051
