"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7"
"487",0.921,0.265,0.261,0.095,0.645,0.242,0.107
"488",0.961,0.243,0.405,0.125,0.905,0.379,0.171
"489",0.907,0.291,0.275,0.102,0.575,0.191,0.085
"490",0.923,0.287,0.298,0.106,0.628,0.37,0.185
"491",0.908,0.313,0.402,0.182,0.757,0.374,0.182
"492",0.954,0.174,0.339,0.073,0.735,0.427,0.193
"493",0.915,0.296,0.328,0.145,0.661,0.332,0.167
"494",0.948,0.15,0.163,0.054,0.463,0.202,0.097
"495",0.951,0.286,0.28,0.131,0.579,0.123,0.04
"496",0.919,0.108,0.091,0.023,0.41,0.139,0.056
"497",0.92,0.242,0.182,0.068,0.476,0.139,0.054
"498",0.97,0.265,0.285,0.099,0.526,0.234,0.114
"499",0.967,0.307,0.276,0.108,0.605,0.263,0.117
"500",0.937,0.343,0.374,0.159,0.654,0.413,0.207
"501",0.965,0.249,0.295,0.11,0.576,0.217,0.093
"502",0.988,0.284,0.275,0.158,0.436,0.203,0.124
"503",0.992,0.249,0.268,0.108,0.544,0.185,0.075
"504",0.959,0.127,0.136,0.055,0.459,0.244,0.118
"505",0.95,0.242,0.24,0.077,0.671,0.304,0.14
"506",0.965,0.297,0.317,0.122,0.644,0.301,0.138
"507",0.915,0.24,0.233,0.097,0.558,0.154,0.056
"508",0.944,0.265,0.287,0.1,0.751,0.388,0.174
"509",0.903,0.08,0.119,0.023,0.38,0.106,0.048
"510",0.944,0.029,0.038,0.016,0.351,0.057,0.024
"511",0.951,0.299,0.264,0.103,0.616,0.311,0.138
"512",0.906,0.338,0.339,0.144,0.587,0.331,0.163
"513",1,0.298,0.408,0.153,0.748,0.442,0.205
"514",0.909,0.327,0.458,0.193,0.794,0.355,0.16
"515",0.982,0.308,0.419,0.163,0.752,0.335,0.16
"516",0.928,0.18,0.23,0.081,0.6,0.302,0.141
"517",0.928,0.222,0.281,0.096,0.599,0.293,0.137
"518",0.959,0.301,0.387,0.163,0.679,0.303,0.151
"519",0.945,0,0.057,0,0.436,0.095,0.042
"520",0.955,0.271,0.278,0.095,0.666,0.33,0.142
"521",0.933,0.315,0.472,0.165,0.899,0.425,0.2
"522",0.941,0.29,0.349,0.153,0.5,0.21,0.116
"523",0.946,0.301,0.267,0.094,0.621,0.282,0.122
"524",0.961,0.224,0.192,0.078,0.533,0.168,0.072
"525",0.96,0.267,0.275,0.124,0.553,0.098,0.034
"526",0.942,0.264,0.262,0.095,0.655,0.333,0.159
"527",0.928,0.143,0.137,0.047,0.492,0.155,0.063
"528",0.955,0.245,0.21,0.11,0.485,0.083,0.034
"529",0.904,0.194,0.251,0.081,0.694,0.333,0.157
"530",0.928,0.263,0.281,0.109,0.662,0.304,0.145
"531",0.948,0.259,0.266,0.126,0.456,0.258,0.147
"532",0.95,0.299,0.369,0.159,0.696,0.317,0.157
"533",0.948,0.286,0.338,0.136,0.691,0.303,0.143
"534",0.952,0.245,0.23,0.08,0.529,0.204,0.085
"535",0.948,0.214,0.162,0.054,0.51,0.191,0.079
"536",0.959,0.261,0.31,0.131,0.638,0.213,0.094
"537",0.911,0.2,0.289,0.078,0.643,0.383,0.179
"538",0.981,0.288,0.285,0.131,0.574,0.194,0.092
"539",0.96,0.285,0.326,0.127,0.615,0.248,0.109
"540",0.942,0.262,0.216,0.095,0.432,0.084,0.033
"541",0.975,0.142,0.174,0.068,0.518,0.228,0.116
"542",0.971,0.247,0.205,0.094,0.464,0.159,0.069
"543",0.966,0.316,0.297,0.11,0.658,0.306,0.138
