Energy,Entropy,Class
6695902.978120274,16.227614823405542,0.0
5336609.118634042,16.33550797380161,0.0
5498577.30978183,15.735036083612545,0.0
4974278.628453801,15.471301657002211,0.0
6351519.23049373,16.312493573007853,0.0
3902755.863301116,15.547319124786346,0.0
5398669.827222368,15.852593264862017,0.0
5010482.951327221,16.035384383850918,0.0
6420576.291602643,16.58946915618713,0.0
5783987.475481086,16.585524564252943,0.0
4414446.93731022,16.326720463214304,0.0
6503074.091173601,16.356755340866385,0.0
5092055.320886981,16.13047312794875,0.0
6082887.490897774,16.272889060292787,0.0
5860535.855237378,15.66790413751327,0.0
4957878.372168673,15.954965578245016,0.0
5927762.836849872,15.92941912905089,0.0
4882505.84276579,15.695104885504282,0.0
4592199.044321701,16.243264666830747,0.0
4597279.536953882,16.22034007437683,0.0
3504805.1455413033,15.922078313467761,0.0
4574917.124551261,16.084784342716407,0.0
6255421.053614683,16.563859224511067,0.0
6271308.3221359365,16.38011502141553,0.0
6236989.794619653,16.357676866825837,0.0
5290180.818581836,16.00989318693731,0.0
5088168.736199073,15.978985332023658,0.0
5297068.735092031,15.953587939626486,0.0
2932787.1083396696,15.907063614944429,0.0
4596966.747421963,16.235939478129534,0.0
4626846.051758834,15.758481983029911,0.0
5761089.22047857,15.91405374580175,0.0
5440797.232723188,16.22135773361491,0.0
5175937.029133474,16.257208396890004,0.0
5388638.978253115,16.12582397227288,0.0
4706393.46967664,15.921298039005036,0.0
5984223.618822367,16.20997245732241,0.0
5343556.081327987,16.399689552942085,0.0
4912595.127967161,16.4049235081843,0.0
4922134.03027542,16.46468089390889,0.0
5568327.598179482,16.447175042389734,0.0
6047939.7640541885,15.877703370029485,0.0
5689369.303180756,15.842133691571872,0.0
4864829.0317765735,15.333975444926986,0.0
5199814.234832705,15.443733482032872,0.0
6631471.098406754,15.452016992650492,0.0
6687902.626681273,15.409994950265123,0.0
6099571.231807945,15.637107966302429,0.0
6912508.107912158,15.745260173138314,0.0
6917066.133166559,15.724140291578669,0.0
2864869.6345717357,14.112229109853761,0.0
5703602.379391603,15.869597934349205,0.0
6077009.293942836,15.909812022146758,0.0
4920789.406041485,15.374421720119106,0.0
5302492.374612298,15.487190710973524,0.0
6630807.35569473,15.452419623759035,0.0
7000241.130402701,15.478301115225443,0.0
6114265.717730549,15.643182200985807,0.0
6770623.332633298,15.734168244008057,0.0
6918197.496172136,15.740768789384413,0.0
5765267.072888447,16.015927885923485,0.0
5582985.766229646,15.9733752286523,0.0
6171711.963473562,15.955610695547245,0.0
8196767.175835382,16.0378247340745,0.0
8921622.02442041,16.13839533250227,0.0
6434031.786443189,16.020236400096,0.0
6890559.317982781,16.519815820551056,0.0
5933186.726588764,16.47685117655367,0.0
5192256.638114617,15.664133474227976,0.0
5770547.014736776,15.775156911022291,0.0
6406779.506917047,15.382113028743198,0.0
4822116.205671892,15.090587020256203,0.0
5101626.84475274,15.395841534850144,0.0
5732814.747735007,15.665112248502354,0.0
4834468.255962866,16.043512892745902,0.0
3649446.2052064114,15.892669296383591,0.0
5552924.313787398,16.196660809645643,0.0
7077237.455474484,15.58608978617246,0.0
6092393.493357185,15.908409624342836,0.0
6435000.000362252,15.598264859538583,0.0
8214139.93850893,15.880968155979785,0.0
7877530.0379004385,15.818713039789337,0.0
6529108.15506352,15.77981506469451,0.0
6242880.310102609,15.870495444168219,0.0
5669145.258279082,15.883328179560252,0.0
6711243.406870458,15.875415976928192,0.0
5383119.765622117,15.890838976718387,0.0
6771681.937301075,16.04078987174291,0.0
6141291.3031835,15.979983627029636,0.0
6123060.246847343,16.29206171800114,0.0
7092037.426930764,16.333054679942062,0.0
6586209.677473364,16.02490493182442,0.0
5596068.312071765,16.17985020702281,0.0
5988824.04483699,16.214630858269295,0.0
6684040.616444188,15.864246051985306,0.0
6409579.445028069,15.908498423906984,0.0
6407509.621834478,15.885578882501408,0.0
5949285.196850579,16.110583425204332,0.0
5550430.5245748125,16.2079589269021,0.0
8035310.211181718,15.867835031670714,0.0
8614155.141626067,15.963064355390898,0.0
12647984.452101886,15.811794591860643,0.0
6454708.599591905,15.9527314237683,0.0
6488490.585234525,15.945019025283736,0.0
7303056.808315055,15.919259656779886,0.0
7599956.140435393,15.59659342360912,0.0
6926108.636062443,15.79228433621378,0.0
7921147.7123134425,15.705713626782927,0.0
6960138.445170454,15.682115372904988,0.0
6910354.851863273,15.63586318640161,0.0
7133276.449123931,15.640224360882137,0.0
6933568.135691778,15.773984676838548,0.0
8553906.590130525,15.333490260623657,0.0
6879949.775775581,15.285931044431898,0.0
6908223.006981408,15.389010217446243,0.0
6789738.544818349,15.723814455870855,0.0
6682927.714046029,15.724275362965788,0.0
9031545.71165697,15.998489541747073,0.0
9110054.347222602,16.02072414780104,0.0
8377857.030365478,15.33848639214043,0.0
8285676.197859209,15.312797934752965,0.0
6239413.232405368,15.159362360938779,0.0
6398721.1694022715,15.20038942395687,0.0
7803528.296886357,15.688288525895338,0.0
7960907.220578368,15.657254603165105,0.0
5616823.650213867,15.657875279101868,0.0
6712147.028580985,15.864696444757074,0.0
4924532.782597085,15.694023265849626,0.0
5065239.946637,15.684166193427233,0.0
6114456.347120051,15.472342868121425,0.0
6442836.077422309,15.596434355616863,0.0
6497086.604675661,15.59771334411208,0.0
6672069.399820358,15.77475642345043,0.0
5562515.448739472,15.64618513390318,0.0
5520205.055572301,15.728749989562274,0.0
11143763.629373632,14.976281781033924,0.0
13605785.972502943,15.181630626398645,0.0
6782099.80604014,14.78179835872738,0.0
5550167.166121599,14.94021635503112,0.0
5565256.204043771,14.973081677665279,0.0
6006327.931324233,15.979335941842583,0.0
4162008.2432339313,15.129855865991198,0.0
7394705.559188316,15.99979783319986,0.0
7193672.972328718,16.010249267906964,0.0
6149718.298561542,15.815407073319303,0.0
